,TrueNeg,FalseNeg,FalsePos,TruePos,Cutoff,sensitivity,specificity,FalsePosRate,PctCorrect,distance,,,
774,34,0,830,449,0.049150537,1,0.039351852,0.960648148,0.367859863,0.960648148,,,
306,33,0,831,449,0.041476556,1,0.038194444,0.961805556,0.367098248,0.961805556,,,
228,864,432,0,17,0.987563564,0.037861915,1,0,0.670982483,0.962138085,,,
701,32,0,832,449,0.037439552,1,0.037037037,0.962962963,0.366336634,0.962962963,,,
43,864,434,0,15,0.989206313,0.033407572,1,0,0.669459254,0.966592428,,,
168,864,435,0,14,0.989260808,0.031180401,1,0,0.668697639,0.968819599,,,
231,864,437,0,12,0.989303759,0.026726058,1,0,0.66717441,0.973273942,,,
220,864,438,0,11,0.99068148,0.024498886,1,0,0.666412795,0.975501114,,,
817,21,0,843,449,0.03664553,1,0.024305556,0.975694444,0.357958873,0.975694444,,,
592,19,0,845,449,0.036562651,1,0.021990741,0.978009259,0.356435644,0.978009259,,,
485,16,0,848,449,0.036304833,1,0.018518519,0.981481481,0.3541508,0.981481481,,,
709,14,0,850,449,0.03586772,1,0.016203704,0.983796296,0.35262757,0.983796296,,,
170,864,442,0,7,0.990728597,0.0155902,1,0,0.663366337,0.9844098,,,
776,10,0,854,449,0.035105818,1,0.011574074,0.988425926,0.349581112,0.988425926,,,
213,864,444,0,5,0.991956677,0.011135857,1,0,0.661843107,0.988864143,,,
773,9,0,855,449,0.033390695,1,0.010416667,0.989583333,0.348819497,0.989583333,,,
223,864,445,0,4,0.993058591,0.008908686,1,0,0.661081493,0.991091314,,,
221,864,446,0,3,0.994010457,0.006681514,1,0,0.660319878,0.993318486,,,
835,3,0,861,449,0.032211353,1,0.003472222,0.996527778,0.34424981,0.996527778,,,
,864,449,0,0,Inf,0,1,0,0.658035034,1,,,
802,0,0,864,449,0.031983199,1,0,1,0.341964966,1,,,
